,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-03 21:00:00,21.6962543198,2.844422,996.0481,73.83769,5.40317927725,318.894788032,66.564582838,8.140415
2015-06-03 21:30:00,12.6808920981,2.345556,995.9895,77.76586,5.85891090803,321.769067105,59.2400944098,7.331427
2015-06-03 22:00:00,11.166126181,2.140161,996.0931,78.37188,5.56447301936,310.737497437,62.8145992789,6.357057
2015-06-03 22:30:00,10.482062682,2.007072,996.0238,78.97224,5.19805857415,307.385083055,58.5357710432,5.657456
2015-06-04 00:30:00,1.86995529825,1.688183,995.7128,82.14844,3.75495702742,306.443863207,30.0049083238,3.855785
2015-06-04 02:00:00,5.72618307275,1.396194,995.5335,82.22541,4.45236277654,316.573786764,62.537759669,4.185276
2015-06-04 02:30:00,5.26863385833,1.312567,995.442,81.67153,4.42006721892,312.008782396,46.3257168621,4.268626
2015-06-04 03:00:00,4.66457822671,1.25085,995.2779,80.12106,4.45679455662,310.990786119,33.2513801521,4.067224
2015-06-04 03:30:00,4.82779316498,1.302967,995.2472,79.7198,4.56746675562,316.739489775,38.6874812654,3.579449
2015-06-04 04:00:00,6.11007767531,1.401589,995.1607,76.94023,4.26747914378,317.357363999,42.7931727865,3.174108
2015-06-04 04:30:00,7.06229876769,1.399239,995.1727,76.64059,4.11812348984,328.134227777,64.3949465419,2.929415
2015-06-04 05:00:00,9.8323591317,1.419456,995.0443,74.59176,3.89302481126,325.023089642,59.8301217487,3.003769
2015-06-04 05:30:00,9.2805144998,1.346711,995.0004,76.66129,5.00722742432,324.444756911,67.0522793242,3.131016
2015-06-04 06:00:00,10.7792772716,1.459755,994.9053,75.47903,4.66689086415,313.502382705,70.5996822866,3.075882
2015-06-04 06:30:00,9.12424346298,1.9033,994.9091,73.96775,3.69838798492,314.810542607,100.934336201,2.931869
2015-06-04 07:30:00,13.8869277945,1.926022,994.8588,74.2489,4.41239327366,300.278165323,143.291450015,4.032693
2015-06-04 08:00:00,17.3151027325,2.109161,994.7891,74.70264,4.94365148521,302.689850493,177.974386408,4.630705
2015-06-04 08:30:00,15.7383770544,2.020016,994.7167,76.99674,4.83857745942,329.952608215,178.929959063,5.668577
2015-06-04 09:00:00,16.9402269872,1.824583,994.7705,78.63316,3.01248684311,321.0143901,195.428946182,6.207185
2015-06-04 10:30:00,29.3771777577,2.917239,994.6442,73.06811,5.58141836197,304.730134744,283.515067717,7.990666
2015-06-04 14:00:00,76.2855336527,4.153789,994.6176,73.26482,5.9709441636,303.756298581,550.139304984,11.03462
2015-06-04 14:30:00,70.5386899998,4.29195,994.4821,72.60799,5.72042437675,303.665821912,440.894029584,12.29841
2015-06-04 16:00:00,42.4232621789,3.683161,994.8076,73.27988,5.45882665968,297.431940506,319.32701641,13.22025
2015-06-04 16:30:00,71.4661304242,4.247566,994.7029,71.86096,5.76706088209,312.064876933,446.893921169,12.80047
2015-06-04 17:00:00,99.1548070815,4.486366,994.7079,70.73431,6.27558118742,329.472356954,543.021273652,13.15177
2015-06-04 17:30:00,61.7205980998,3.913461,994.7756,70.20119,5.51276298416,323.670738477,252.765952586,15.21218
2015-06-04 18:00:00,41.1503995736,3.522872,994.8199,71.87625,5.55349797124,324.453381086,184.544242261,15.07152
2015-06-04 19:00:00,30.6275437044,3.2024,994.8722,72.6209,5.83843961662,322.388031065,113.561988786,11.56641
2015-06-04 19:30:00,31.4660626622,2.895077,994.9219,73.40643,5.14963520676,327.861179552,59.192352328,10.55476
2015-06-04 20:00:00,23.476107933,2.843305,995.1746,72.18584,3.96765204773,326.350701028,74.8584687841,8.609512
2015-06-04 20:30:00,25.8666058869,2.673867,995.0113,72.87826,5.21609472129,315.70930305,52.7778146021,7.645686
2015-06-04 22:00:00,7.82685060383,2.211555,994.9981,74.26259,4.51589255369,311.623732608,-12.3354814587,5.119691
2015-06-05 01:30:00,7.78749865619,2.107761,995.5328,76.16199,3.44797096898,301.850451412,29.5344492257,3.964442
2015-06-05 02:00:00,8.73664620622,2.088961,995.4681,76.80663,3.2524332363,329.774391636,29.3223695604,3.990937
2015-06-05 03:00:00,5.98960818154,1.873267,995.7664,80.85149,3.4161897973,318.552408228,67.4487695971,3.496183
2015-06-05 03:30:00,5.77643823373,1.734822,995.7589,83.11919,2.42905405048,334.614052039,68.1121388023,3.741091
2015-06-05 07:00:00,4.57656455527,1.713694,995.5424,83.27106,5.19014837625,297.541946608,134.06415325,3.28217
2015-06-05 13:00:00,59.3538228039,4.032861,996.7224,71.58929,5.88976756299,297.316124614,381.639364338,10.39532
2015-06-05 13:30:00,37.833864585,4.047645,996.9172,72.80502,5.7763485321,295.55523657,351.774090898,10.95212
2015-06-05 15:00:00,41.9015325413,4.001178,997.2596,71.99774,6.46261432748,296.450009373,282.849713322,11.21516
2015-06-05 17:00:00,26.5472191467,,,,5.92001923284,296.528355634,,
2015-06-05 21:00:00,20.6262658575,3.072311,999.3591,75.50476,4.16680952289,314.021936588,79.8493105417,8.337016
2015-06-05 21:30:00,18.3342661941,2.833306,999.6324,77.16943,3.53376149011,325.424027805,73.385673095,7.757442
2015-06-06 06:30:00,11.2275837827,2.1894,1002.853,78.67019,4.64654761276,304.466913588,101.592571154,3.947191
2015-06-06 07:30:00,17.032212912,2.484022,1003.106,77.6488,4.20098291354,314.644616194,130.613156494,4.678156
2015-06-06 08:00:00,11.830833062,2.491294,1003.27,76.66007,4.19450256309,317.645917846,142.540681344,5.261708
2015-06-06 08:30:00,18.9005477398,2.701261,1003.432,75.28361,4.13865951798,315.243133489,181.803232134,5.676109
2015-06-06 10:30:00,51.8310825964,3.32385,1004.137,73.84042,4.22141041022,312.117088186,417.035704334,7.706505
2015-06-06 11:00:00,39.3355282362,3.380522,1004.191,74.74716,4.46548831791,310.249284773,352.409217163,8.352861
2015-06-06 11:30:00,35.828169375,3.276917,1004.309,75.67199,4.6831149725,315.546183496,282.097544174,9.707301
2015-06-06 13:00:00,68.768100989,4.306411,1004.734,67.62904,4.03575619253,306.59409391,463.85630938,10.11738
2015-06-06 14:00:00,79.1942840059,4.268155,1004.902,68.81395,4.69164308809,315.21065049,369.108636521,12.24113
2015-06-06 14:30:00,70.1957761665,4.448594,1005.1,66.87157,4.52331934127,309.026759041,336.742472508,12.03867
2015-06-06 15:00:00,63.1900110993,4.201483,1005.204,67.22611,4.56727961919,314.352000917,238.077684329,12.29773
2015-06-06 15:30:00,71.3715398523,4.238994,1005.35,67.86153,4.83271040661,321.20595691,275.500140056,11.98409
2015-06-06 16:00:00,52.3263244824,4.068661,1005.458,67.88506,4.52527120698,317.412317143,267.471744184,11.40322
