,LE,T_air,wind_speed,Enet,RH_air
2015-06-04 06:00:00,10.7792772716,1.459755,4.66689086415,70.5996822866,75.47903
2015-06-04 06:30:00,9.12424346298,1.9033,3.69838798492,100.934336201,73.96775
2015-06-04 07:30:00,13.8869277945,1.926022,4.41239327366,143.291450015,74.2489
2015-06-04 08:00:00,17.3151027325,2.109161,4.94365148521,177.974386408,74.70264
2015-06-04 08:30:00,15.7383770544,2.020016,4.83857745942,178.929959063,76.99674
2015-06-04 09:00:00,16.9402269872,1.824583,3.01248684311,195.428946182,78.63316
2015-06-04 10:30:00,29.3771777577,2.917239,5.58141836197,283.515067717,73.06811
2015-06-04 14:00:00,76.2855336527,4.153789,5.9709441636,550.139304984,73.26482
2015-06-04 14:30:00,70.5386899998,4.29195,5.72042437675,440.894029584,72.60799
2015-06-04 16:00:00,42.4232621789,3.683161,5.45882665968,319.32701641,73.27988
2015-06-04 16:30:00,71.4661304242,4.247566,5.76706088209,446.893921169,71.86096
2015-06-04 17:00:00,99.1548070815,4.486366,6.27558118742,543.021273652,70.73431
2015-06-04 17:30:00,61.7205980998,3.913461,5.51276298416,252.765952586,70.20119
2015-06-04 18:00:00,41.1503995736,3.522872,5.55349797124,184.544242261,71.87625
2015-06-04 19:00:00,30.6275437044,3.2024,5.83843961662,113.561988786,72.6209
2015-06-04 19:30:00,31.4660626622,2.895077,5.14963520676,59.192352328,73.40643
2015-06-04 20:00:00,23.476107933,2.843305,3.96765204773,74.8584687841,72.18584
2015-06-04 20:30:00,25.8666058869,2.673867,5.21609472129,52.7778146021,72.87826
2015-06-04 22:00:00,7.82685060383,2.211555,4.51589255369,-12.3354814587,74.26259
2015-06-05 01:30:00,7.78749865619,2.107761,3.44797096898,29.5344492257,76.16199
2015-06-05 02:00:00,8.73664620622,2.088961,3.2524332363,29.3223695604,76.80663
2015-06-05 03:00:00,5.98960818154,1.873267,3.4161897973,67.4487695971,80.85149
2015-06-05 03:30:00,5.77643823373,1.734822,2.42905405048,68.1121388023,83.11919
2015-06-05 07:00:00,4.57656455527,1.713694,5.19014837625,134.06415325,83.27106
2015-06-05 13:00:00,59.3538228039,4.032861,5.88976756299,381.639364338,71.58929
2015-06-05 13:30:00,37.833864585,4.047645,5.7763485321,351.774090898,72.80502
2015-06-05 15:00:00,41.9015325413,4.001178,6.46261432748,282.849713322,71.99774
2015-06-05 17:00:00,26.5472191467,,5.92001923284,,
2015-06-05 21:00:00,20.6262658575,3.072311,4.16680952289,79.8493105417,75.50476
2015-06-05 21:30:00,18.3342661941,2.833306,3.53376149011,73.385673095,77.16943
2015-06-06 06:30:00,11.2275837827,2.1894,4.64654761276,101.592571154,78.67019
2015-06-06 07:30:00,17.032212912,2.484022,4.20098291354,130.613156494,77.6488
2015-06-06 08:00:00,11.830833062,2.491294,4.19450256309,142.540681344,76.66007
2015-06-06 08:30:00,18.9005477398,2.701261,4.13865951798,181.803232134,75.28361
2015-06-06 10:30:00,51.8310825964,3.32385,4.22141041022,417.035704334,73.84042
2015-06-06 11:00:00,39.3355282362,3.380522,4.46548831791,352.409217163,74.74716
2015-06-06 11:30:00,35.828169375,3.276917,4.6831149725,282.097544174,75.67199
2015-06-06 13:00:00,68.768100989,4.306411,4.03575619253,463.85630938,67.62904
2015-06-06 14:00:00,79.1942840059,4.268155,4.69164308809,369.108636521,68.81395
2015-06-06 14:30:00,70.1957761665,4.448594,4.52331934127,336.742472508,66.87157
2015-06-06 15:00:00,63.1900110993,4.201483,4.56727961919,238.077684329,67.22611
2015-06-06 15:30:00,71.3715398523,4.238994,4.83271040661,275.500140056,67.86153
2015-06-06 16:00:00,52.3263244824,4.068661,4.52527120698,267.471744184,67.88506
2015-06-06 16:30:00,56.669827453,4.003939,5.31045458031,257.410992083,69.59936
2015-06-06 17:00:00,65.9281436327,4.075483,5.54188981113,323.960214051,69.40437
2015-06-06 18:30:00,58.6548060551,4.340411,4.34649358966,214.264335128,66.66831
2015-06-06 19:30:00,55.9746478932,4.441472,4.19701565951,202.828930525,66.02195
2015-06-06 20:00:00,58.7802385432,4.415994,4.41413661257,192.712892616,68.70271
2015-06-06 20:30:00,33.4990454604,4.054055,4.74934628735,112.281976412,72.44788
2015-06-06 21:00:00,19.7439365506,3.419816,4.20998681801,30.4376239955,77.24199
2015-06-06 23:30:00,13.6331267151,2.703556,3.10025664354,47.9007981634,74.18204
2015-06-07 00:30:00,5.31597194396,1.893422,3.43669151127,14.1607498508,77.8416
2015-06-07 01:00:00,3.90910413425,1.789478,3.26055432896,32.9877832402,78.62639
2015-06-07 02:30:00,4.71915324607,1.702778,3.2047786246,21.6204254872,80.11986
2015-06-07 03:30:00,5.05953260253,1.673439,2.80636180448,37.4084776147,85.05821
2015-06-07 04:00:00,6.00002108028,1.6067,2.65847424769,41.3249037385,83.94848
2015-06-07 04:30:00,4.45891046672,1.447922,3.30283953266,37.2052130364,85.78578
2015-06-07 05:00:00,2.11423383677,1.296617,4.02073679031,49.0526064331,87.79097
2015-06-07 05:30:00,3.23154667434,1.300528,3.50604739052,54.7861743481,87.76338
2015-06-07 06:30:00,4.87743896383,1.463211,4.01878607208,91.7839962846,86.20776
2015-06-07 07:30:00,7.97780858518,1.847789,4.00142482745,130.285500174,83.60902
2015-06-07 08:00:00,8.34721319283,1.879089,4.2607225886,179.630420256,84.02093
2015-06-07 08:30:00,8.35702314201,1.975955,4.54474787145,180.286582153,83.13422
2015-06-07 09:00:00,11.1988774811,1.799133,4.59525423718,142.90001339,84.09346
2015-06-07 10:00:00,12.2429188652,2.198772,3.82630119349,191.604506424,81.78289
2015-06-07 10:30:00,14.0894898325,2.124578,4.75500882215,177.253826472,82.54395
2015-06-07 11:00:00,9.35332225492,1.924772,5.11568604951,181.9922254,84.25098
2015-06-07 11:30:00,12.6736918805,2.058272,4.61313420632,187.400285834,82.82141
2015-06-07 12:00:00,12.5665741699,2.139966,4.23126258806,195.740112609,82.62745
2015-06-07 12:30:00,11.0145244028,2.120183,4.45216931969,178.555939826,82.82518
2015-06-07 13:00:00,9.9805922682,2.053822,4.33750760443,167.521314435,82.8479
2015-06-07 13:30:00,11.9551940261,2.098022,3.82905802629,174.501250791,82.73586
2015-06-07 14:00:00,14.2328069003,2.176316,3.93023040638,171.879627667,82.81084
2015-06-07 14:30:00,13.9904872319,2.107433,3.81099287318,155.167736488,83.09662
2015-06-07 15:00:00,10.027969819,2.073467,3.92067152881,145.662509687,83.66235
2015-06-07 16:30:00,9.27773923408,2.298433,3.37645591376,180.999616647,82.62839
2015-06-07 17:00:00,16.7349176234,2.616283,2.9104567702,177.172508629,79.80941
2015-06-07 17:30:00,27.1269264707,2.787189,2.96747692801,180.394167017,76.7639
2015-06-07 18:00:00,19.1979852712,2.885345,3.70321001847,194.892077409,78.491
2015-06-07 19:00:00,11.2322613314,2.78955,3.32578811932,127.388025864,81.09315
2015-06-07 19:30:00,12.6058045239,2.922228,3.29613921896,143.831325719,80.92341
2015-06-07 20:00:00,27.4756531621,3.826756,2.78071089132,206.247950374,75.32629
2015-06-07 20:30:00,22.0572659853,3.420861,2.7239148449,85.6166563589,76.04169
2015-06-07 21:00:00,27.5791340644,3.456939,2.44439259014,107.26596562,73.97485
2015-06-07 22:00:00,18.1304667455,2.914528,2.57443057456,52.3022584081,76.84155
2015-06-07 22:30:00,8.87323736769,2.464878,3.37224661861,36.4442778617,79.39198
2015-06-07 23:30:00,10.8638653349,2.290895,1.25942603563,33.3240821684,76.09211
2015-06-08 00:30:00,4.6073477133,1.683555,2.66836747788,2.84030356853,76.16534
2015-06-08 02:30:00,5.10478690722,1.164906,2.19091321035,1.25029798242,78.27099
2015-06-08 03:00:00,8.42102519508,1.599405,0.335127244413,31.4621743759,76.75246
2015-06-08 04:30:00,11.7908495176,2.109933,1.15582101056,46.163187172,73.39762
2015-06-08 05:30:00,14.2304935467,2.098794,1.90189547835,62.4073969434,75.28011
2015-06-08 06:00:00,13.7173083804,2.387794,1.70332095361,75.0661529521,73.39823
2015-06-08 06:30:00,14.4094374231,2.364905,2.85290120564,80.3475170754,75.49971
2015-06-08 07:30:00,27.8819643047,2.890511,3.86628706077,164.875274562,76.33003
2015-06-08 08:00:00,34.5262187256,3.150905,4.34142635341,302.412601882,76.40103
