,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:12.000,-1.37847,1.47744,-0.324976,9.66416388209,395.367,6.27755
2018-08-13 09:30:12.100,-1.44071,1.49377,-0.24539,9.37229855719,395.373,6.20231
2018-08-13 09:30:12.200,-1.53662,1.35296,-0.0140296,9.5047934484,395.121,6.20659
2018-08-13 09:30:12.300,-1.44173,1.38357,0.0905546,9.66584170449,395.215,6.23979
2018-08-13 09:30:12.400,-1.58356,0.952991,0.190037,9.76987641344,394.916,6.28467
2018-08-13 09:30:12.500,-1.85497,0.809124,0.102543,9.58363425954,395.046,6.35969
2018-08-13 09:30:12.600,-1.80701,0.841775,-0.301253,9.61215385611,395.232,6.34284
2018-08-13 09:30:12.700,-1.47234,0.712193,-0.46068,9.8521109278,395.189,6.29773
2018-08-13 09:30:12.800,-1.45704,0.824429,-0.46068,10.0384414716,395.005,6.30395
2018-08-13 09:30:12.900,-1.05809,0.555061,-0.380839,9.87896560211,395.095,6.29686
2018-08-13 09:30:13.000,-1.32847,0.984621,-0.405072,9.47460200669,395.084,6.27039
2018-08-13 09:30:13.100,-1.48969,1.0989,-0.36885,9.39409937888,395.248,6.18682
2018-08-13 09:30:13.200,-1.48969,1.36929,-0.277786,9.10237347707,395.388,6.13153
2018-08-13 09:30:13.300,-1.40806,1.30501,-0.0619852,9.31863857949,395.323,6.07357
2018-08-13 09:30:13.400,-1.31419,1.30399,-0.0614751,9.29181050177,395.25,6.03846
2018-08-13 09:30:13.500,-1.154,1.27338,-0.208658,9.37229855719,395.36,6.0259
2018-08-13 09:30:13.600,-1.13869,1.41724,-0.113257,9.26666033604,395.335,6.01925
2018-08-13 09:30:13.700,-1.20195,1.41316,-0.149734,9.29181050177,395.255,6.0083
2018-08-13 09:30:13.800,-1.08972,1.41622,-0.126011,9.31863857949,395.377,6.01253
2018-08-13 09:30:13.900,-1.23562,1.11318,0.0545878,9.69268753982,395.389,6.01308
2018-08-13 09:30:14.000,-1.3601,1.12849,0.154325,9.42764074693,395.318,6.06985
2018-08-13 09:30:14.100,-1.05911,1.0489,-0.0663217,9.47795653169,395.317,6.08238
2018-08-13 09:30:14.200,-0.993804,0.922381,0.0339261,9.3974534261,395.286,6.09593
