Instrument:	129.240.244.146
File Type:	2
Software Version:	8.7.5
Timestamp:	23:30:00
Timezone:	UTC
DATAH	DATE	TIME	BEC_3_1_1(other)	CS650PERIOD_3_1_1(other)	CS650VRATIO_3_1_1(other)	FC1DRIFTmax_1_1_1(other)	FC1DRIFTmean_1_1_1(other)	FC1DRIFTmin_1_1_1(other)	FC1DRIFTstd_1_1_1(other)	FC1DRIFTsum_1_1_1(other)	FC1WSmax_1_1_1(m/s)	FC1WSmean_1_1_1(m/s)	FC1WSmin_1_1_1(m/s)	FC2DRIFTmax_1_1_1(other)	FC2DRIFTmean_1_1_1(other)	FC2DRIFTmin_1_1_1(other)	FC2DRIFTstd_1_1_1(other)	FC2DRIFTsum_1_1_1(other)	FC2WSmax_1_1_1(m/s)	FC2WSmean_1_1_1(m/s)	FC2WSmin_1_1_1(m/s)	LWIN_1_1_1(W/m^2)	LWOUT_1_1_1(W/m^2)	METNORR_1_1_1(other)	METNOR_1_1_1(other)	METNOS_1_1_1(other)	PA_1_1_1(kPa)	PERMITTIVITY_3_1_1(other)	RH_1_1_1(%)	RH_1_2_1(%)	SHF_1_1_1(W/m^2)	SHF_1_1_2(other)	SHF_2_1_1(W/m^2)	SHF_2_1_2(other)	SWC_3_1_1(m^3/m^3)	SWIN_1_1_1(W/m^2)	SWOUT_1_1_1(W/m^2)	TA_1_1_1(C)	TA_1_2_1(C)	TSS_1_1_1(C)	TS_1_1_1(C)	TS_2_1_1(C)	TS_3_1_1(C)	VIN_1_1_1(V)	WD_1_1_1(degrees)	WS_1_1_1(m/s)	CHK
DATA	2018-08-13	23:50:00:000	0.0029	3.0178	1.0086	0.002	0.002	0.002	0	0.01	3.53889	3.50444	3.49389	0.001	0.001	0.001	0	0.007	2.54639	2.41444	2.38333	2229.94	322.585	0	388.446	0.05	87.2659	15.4575	73.4956	79.2667	-15.1776	-0.643773	-23.6917	-1.04447	0.2828	-7.87974	-3.87356	5.4832	5.3613	0.88174	8.1	10.1003	8.35	13.6901	58	0.26	204
DATA	2018-08-13	23:51:00:000	0.0032	3.0178	1.0097	0.002	0.002	0.002	0	0.01	3.4975	3.47028	3.44333	0.001	0.001	0.001	0	0.007	2.47833	2.31222	2.31222	2369.31	322.167	0	388.426	0.05	87.2656	15.4548	73.0899	78.922	-15.231	-0.646039	-23.7211	-1.04577	0.2828	-7.95813	-3.97005	5.4832	5.44199	0.83985	8.1	10.0612	8.3471	13.6908	56	0.34	135
DATA	2018-08-13	23:52:00:000	0.0029	3.0178	1.0088	0.002	0.002	0.002	0	0.009	3.475	3.44361	3.40139	0.001	0.001	0.001	0	0.007	2.44639	2.44167	2.17389	2183.09	322.81	0	388.444	0.05	87.2656	15.4571	73.1575	78.9808	-15.2844	-0.648304	-23.7798	-1.04836	0.2828	-8.03847	-4.07584	5.52356	5.44199	0.91757	8.1	10.0424	8.318	13.6928	47	0.55	242
DATA	2018-08-13	23:53:00:000	0.003	3.0178	1.0089	0.002	0.002	0.002	0	0.018	3.4175	3.38889	3.37028	0.001	0.001	0.001	0	0.015	2.4475	2.34167	2.29056	2455.88	323.365	0	388.45	0.05	87.2658	15.4567	72.5152	78.8326	-15.3226	-0.649923	-23.8018	-1.04933	0.2828	-8.3383	-4.34555	5.52356	5.48233	0.99582	8.1	10.0228	8.3297	13.6905	20	0.51	173
DATA	2018-08-13	23:54:00:000	0.0032	3.0178	1.0095	0.002	0.002	0.002	0	0.017	3.39722	3.36667	3.33861	0.001	0.001	0.001	0	0.013	2.43028	2.37	2.19083	2653.47	322.61	0	388.449	0.05	87.2657	15.4553	72.0757	78.3496	-15.3531	-0.651218	-23.8238	-1.0503	0.2828	-8.56366	-4.33625	5.4832	5.52267	0.99734	8.1	9.97302	8.3384	13.7066	46	0.48	116
DATA	2018-08-13	23:55:00:000	0.0032	3.0178	1.0095	0.002	0.002	0.002	0	0.017	3.36667	3.34778	3.34	0.001	0.001	0.001	0	0.012	2.3775	2.27222	2.21333	2660.82	322.819	0	388.449	0.05	87.2656	15.4553	75.5916	78.3839	-15.376	-0.652188	-23.8532	-1.05159	0.2828	-8.72729	-4.30719	5.40251	5.56389	0.82679	8.1	9.91635	8.3239	13.6848	101	0.46	243
DATA	2018-08-13	23:56:00:000	0.003	3.0178	1.0089	0.002	0.002	0.002	0	0.018	3.43417	3.40806	3.34111	0.001	0.001	0.001	0	0.013	2.42194	2.33028	2.03722	2679.28	321.286	0	388.48	0.05	87.2656	15.4567	72.6504	78.4128	-15.4142	-0.653807	-23.8752	-1.05256	0.2828	-8.28637	-4.0956	5.40251	5.52267	0.83109	8.1	9.88253	8.3355	13.7295	34	0.37	247
DATA	2018-08-13	23:57:00:000	0.0032	3.0178	1.0094	0.002	0.002	0.002	0	0.018	3.41333	3.40194	3.37806	0.001	0.001	0.001	0	0.013	2.39833	2.34083	2.25306	2576.92	321.672	0	388.444	0.04	87.2655	15.4555	72.9547	78.2216	-15.4752	-0.656396	-23.9266	-1.05483	0.2828	-8.56366	-4.19558	5.32179	5.56303	0.92281	8.1	9.85566	8.318	13.6847	37	0.86	141
DATA	2018-08-13	23:58:00:000	0.0032	3.0178	1.0095	0.002	0.002	0.002	0	0.009	3.39889	3.39444	3.38417	0.001	0.001	0.001	0	0.006	2.41472	2.3375	2.30444	2316.79	321.326	0	388.444	0.05	87.2656	15.4553	73.5632	78.0121	-15.4829	-0.65672	-23.9707	-1.05677	0.2828	-8.96147	-4.21302	5.32179	5.60338	0.76915	8.1	9.84561	8.3239	13.6885	59	0.77	 90
DATA	2018-08-13	23:59:00:000	0.0031	3.0178	1.0093	0.002	0.002	0.002	0	0.009	3.43694	3.39694	3.38861	0.001	0.001	0.001	0	0.005	2.36417	2.31889	2.31583	2078.13	321.451	0	388.444	0.05	87.2655	15.4557	73.6646	77.7664	-15.5515	-0.659633	-24.0147	-1.05871	0.2828	-9.10158	-4.04213	5.24109	5.52267	0.80287	8.1	9.86853	8.3122	13.716	31	0.62	109
